regime,epsilon,status,utility,p_layer_8,p_layer_9,p_layer_10,p_layer_11,p_layer_12,p_layer_13,p_layer_14,p_layer_15,p_layer_16
Track A (alpha=3.0),0.0,optimal,50.499999991783525,2.6703436921378437e-11,2.027571873366244e-11,2.027571873366244e-11,0.9999999998313664,2.027571873366244e-11,2.027571873366244e-11,2.027571873366244e-11,2.027571873366244e-11,2.027571873366244e-11
Track A (alpha=3.0),0.01,optimal,50.487914559619824,2.638621817937498e-11,2.0122312059559383e-11,2.0122312059559383e-11,0.9999999998327574,2.0122312059559383e-11,2.0122312059559383e-11,2.0122312059559383e-11,2.0122312059559383e-11,2.0122312059559383e-11
Track A (alpha=3.0),0.02,optimal,51.4509564673178,2.5350010199940467e-11,1.9640989903173742e-11,1.9640989903173742e-11,0.999999999837163,1.9640989903173742e-11,1.9640989903173742e-11,1.9640989903173742e-11,1.9640989903173742e-11,1.9640989903173742e-11
Track A (alpha=3.0),0.05,optimal,49.300696568528274,2.938032885826269e-11,2.1496910804139396e-11,2.1496910804139396e-11,0.9999999998201413,2.1496910804139396e-11,2.1496910804139396e-11,2.1496910804139396e-11,2.1496910804139396e-11,2.1496910804139396e-11
Track A (alpha=3.0),0.1,optimal,52.162183311411205,2.8511620759667696e-11,2.1192028604205313e-11,2.1192028604205313e-11,0.9999999998231442,2.1192028604205313e-11,2.1192028604205313e-11,2.1192028604205313e-11,2.1192028604205313e-11,2.1192028604205313e-11
Track A sensitive (alpha=1.5),0.0,optimal,62.99999998722092,8.219938697809926e-11,1.1992474966471353e-10,0.9999999992140414,5.5855387778505655e-11,4.828008898181181e-11,1.1992474966471353e-10,1.1992474966471353e-10,1.1992474966471353e-10,1.1992474966471353e-10
Track A sensitive (alpha=1.5),0.01,optimal,63.11919969571208,8.239187107439417e-11,1.224886099530041e-10,0.9999999992161357,5.5814742568997694e-11,4.8212689876544576e-11,1.2105759164115998e-10,1.1640083837132361e-10,1.183259911016487e-10,1.1917193417473573e-10
Track A sensitive (alpha=1.5),0.02,optimal,63.760835642796735,7.839880923254752e-11,1.1615710537770656e-10,0.9999999992468311,5.514178807207109e-11,4.853572805359244e-11,1.1478537447025166e-10,1.172374551342694e-10,1.1524615725470377e-10,1.076664609071582e-10
Track A sensitive (alpha=1.5),0.05,optimal,66.1756350440263,6.760007824632623e-11,8.263241220176031e-11,0.9999999994238746,4.944243474580318e-11,4.430663029792626e-11,9.074219538660662e-11,7.974854485969882e-11,8.558762268317747e-11,7.606547487174855e-11
Track A sensitive (alpha=1.5),0.1,optimal,62.57265272145879,7.540237177500024e-11,9.888478315970733e-11,0.9999999991853348,5.6459857190230816e-11,5.150931868543396e-11,1.173215295310665e-10,1.7368301523115645e-10,9.1672858349563e-11,1.497316494502514e-10
Track B (alpha=3.0),0.0,optimal,97.50000001148574,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Track B (alpha=3.0),0.01,optimal,97.50000001008578,0.24999997910299657,0.0,0.0,0.0,0.24999997910299657,0.24999997910299657,4.5805059008139015e-08,3.778295464721379e-08,0.24999997910299657
Track B (alpha=3.0),0.02,optimal,97.5000000073736,0.3333333302977064,0.0,0.0,0.0,3.1142109601809415e-09,0.3333333302977064,3.3528136034361385e-09,0.3333333302977064,2.639856345767574e-09
Track B (alpha=3.0),0.05,optimal,97.50000000379087,0.24999999924572017,0.0,0.0,0.0,1.6559599355523885e-09,0.2499999992457203,0.2499999992457203,0.2499999992457203,1.3611589827145196e-09
Track B (alpha=3.0),0.1,optimal,97.49999999938187,0.24999999077339202,0.0,0.0,0.0,1.658603424472861e-08,0.24999999077339202,2.032039767058952e-08,0.24999999077339202,0.24999999077339202
Clean baseline,0.0,optimal,-2.4999999999999996,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,0.01,optimal,-2.4999999999999996,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,0.02,optimal,-2.4999999999999996,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,0.05,optimal,-2.4999999999999996,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Clean baseline,0.1,optimal,-2.4999999999999996,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
