regime,lambda,status,utility,p_layer_8,p_layer_9,p_layer_10,p_layer_11,p_layer_12,p_layer_13,p_layer_14,p_layer_15,p_layer_16
Track A (alpha=3.0),0.0,optimal,50.499999991783525,2.6703436921378437e-11,2.027571873366244e-11,2.027571873366244e-11,0.9999999998313664,2.027571873366244e-11,2.027571873366244e-11,2.027571873366244e-11,2.027571873366244e-11,2.027571873366244e-11
Track A (alpha=3.0),1.0,optimal,49.49999988026131,2.25813075247359e-09,1.8359527886909982e-10,1.8359527886909982e-10,0.9999999964567023,1.8359527886909982e-10,1.8359527886909982e-10,1.8359527886909982e-10,1.8359527886909982e-10,1.8359527886909982e-10
Track A (alpha=3.0),5.0,optimal,45.49999996892724,4.511534286809526e-10,7.925016525327266e-11,7.925016525327266e-11,0.9999999989940954,7.925016525327266e-11,7.925016525327266e-11,7.925016525327266e-11,7.925016525327266e-11,7.925016525327266e-11
Track A (alpha=3.0),10.0,optimal,40.499999991223845,4.796746755861264e-10,2.5532897593089436e-11,2.5532897593089436e-11,0.999999999341595,2.5532897593089436e-11,2.5532897593089436e-11,2.5532897593089436e-11,2.5532897593089436e-11,2.5532897593089436e-11
Track A (alpha=3.0),25.0,optimal,28.379999988095545,0.239999999653124,1.133757115372907e-10,1.133757115372907e-10,0.759999999553246,1.133757115372907e-10,1.133757115372907e-10,1.133757115372907e-10,1.133757115372907e-10,1.133757115372907e-10
Track A (alpha=3.0),50.0,optimal,14.967777777777794,0.2922222169405556,0.022222223782180143,0.022222223782180143,0.5522222165841834,0.022222223782180143,0.022222223782180143,0.022222223782180143,0.022222223782180143,0.022222223782180143
Track A sensitive (alpha=1.5),0.0,optimal,62.99999998722092,8.219938697809926e-11,1.1992474966471353e-10,0.9999999992140414,5.5855387778505655e-11,4.828008898181181e-11,1.1992474966471353e-10,1.1992474966471353e-10,1.1992474966471353e-10,1.1992474966471353e-10
Track A sensitive (alpha=1.5),1.0,optimal,61.999999828690264,9.746591102944906e-10,2.3539786866314566e-09,0.9999999863315178,4.85123897785643e-10,4.388057821368787e-10,2.3539786866314566e-09,2.3539786866314566e-09,2.3539786866314566e-09,2.3539786866314566e-09
Track A sensitive (alpha=1.5),5.0,optimal,57.999999684657155,2.1806137374999294e-09,2.1064658809835165e-08,0.999999891224059,6.570271292862148e-10,6.150061654477713e-10,2.1064658809835165e-08,2.1064658809835165e-08,2.1064658809835165e-08,2.1064658809835165e-08
Track A sensitive (alpha=1.5),10.0,optimal,54.171874997274635,3.7540535715240506e-10,0.06250000008104115,0.6874999991757035,2.700743630076032e-11,1.6678089505221658e-11,0.06250000008104115,0.06250000008104115,0.06250000008104115,0.06250000008104115
